Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5993","OQ293_11940",,"VFG002058","Pseudomonas aeruginosa PAO1","tagS","ABC-type antimicrobial peptide transport system, permease component",,"Secretion system,Type VI secretion system",,,,100,100,100,"1e-221"
"BLAT","Virulance factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.3421","IEG03_16725",,"VFG042736","Pseudomonas aeruginosa PAO1",,"RNA polymerase sigma-54 factor RpoN",,"Adherence",,,,100,100,99,"1e-284"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.4920","KB219_13035",,"VFG000177","Pseudomonas aeruginosa PAO1","gspJ","General secretion pathway protein J",,"Effector delivery system",,,,100,100,99,"1e-137"
"BLAT","Virulence Factor","PATRIC_VF","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.6298","ERJ99_014805",,"S4595","Shigella flexneri 2a str. 2457T","hfq","RNA-binding protein Hfq",,"Regulation of gene expression",,,"19476612",66,82,92,"2e-28"
"BLAT","Transporter","TCDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.424","ACFX5C_09445",,"Q9I6X0","Pseudomonas aeruginosa",,"Outer membrane low permeability porin, OprD family => OccD2/OpdC","the outer membrane porin (opr) family.","1.B.25.1.12",,,"10984043",100,100,99,"1e-271"
"BLAT","Antibiotic Resistance","CARD","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.3175","ACFX5B_22180",,"ACQ82808.1","Pseudomonas aeruginosa","PDC-3","Class C beta-lactamase (EC 3.5.2.6) => PDC family",,"antibiotic inactivation enzyme,beta-lactam resistance gene",,,,100,100,99,"1e-233"
"BLAT","Virulence Factor","VFDB","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.4073","ACFX5A_23890",,"VFG015503","Pseudomonas aeruginosa PAO1","phzA1","Phenazine biosynthesis protein PhzA",,"",,,,100,100,99,"8e-96"
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.3027","ERJ99_029420",,"VFG050296","Pseudomonas aeruginosa PAO1",,"Fap amyloid fibril minor component",,"Adherence",,,,100,100,97,"3e-96"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.1817","KB219_27985",,"VFG000133","Pseudomonas aeruginosa PAO1",,"Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)",,"Biofilm",,,,100,100,100,"1e-284"
"BLAT","Drug Target","TTD","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.649","NDR77_28385",,"T85801",,,"Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8)",,,,,,100,64,100,"1e-272"
"BLAT","Transporter","TCDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.1565","NDR77_31150",,"Q6UP70","Alcaligenes eutrophus (Ralstonia eutropha)","merP","Periplasmic mercury(+2) binding protein, MerP","the mer superfamily.","1.A.72.3.1",,,"15186344",100,88,90,"3e-39"
"BLAT","Virulence Factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6449","RBB72_31315",,"VFG000133","Pseudomonas aeruginosa PAO1","algA","Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)",,"Antiphagocytosis,Serum resistance",,,,100,100,99,"1e-284"
"BLAT","Antibiotic Resistance","CARD","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5352","OQ293_09020",,"NP_249871.1","Pseudomonas aeruginosa PAO1","phoQ","Sensor histidine kinase PhoQ (EC 2.7.13.3)",,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene modulating antibiotic efflux,polymyxin resistance gene",,,,100,100,100,"1e-256"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.2800","RBB72_13580",,"VFG043015","Pseudomonas aeruginosa PAO1",,"Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)",,"Motility",,,,45,100,97,"3e-86"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.6911","NDR77_26045",,"VFG016005","Pseudomonas aeruginosa PAO1",,"PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)",,"Nutritional/Metabolic factor",,,,100,100,99,"1e-173"
"BLAT","Antibiotic Resistance","CARD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.2174","ACFX5A_17470",,"NP_248848.1","Pseudomonas aeruginosa PAO1","TriC","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5067","IEG03_24775",,"VFG002062","Pseudomonas aeruginosa PAO1","tagF/pppB","T6SS associated component TagF (ImpM)",,"Secretion system,Type VI secretion system",,,,100,100,99,"1e-131"
"BLAT","Virulence Factor","Victors","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5938","IEG03_29015",,"15600520","Pseudomonas aeruginosa","PA5327","Oxidoreductase, FAD-binding",,"",,,"14641575",100,95,99,"1e-261"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.2769","ERJ99_007500",,"VFG000168","Pseudomonas aeruginosa PAO1","pchD","2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis",,"Iron uptake,Siderophore",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.957","OQ293_18430",,,,"kasA","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)","antibiotic target in susceptible species","Isoniazid, Triclosan","isoniazid;triclosan","10428945",,,,
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.1557","IEG03_07600",,"Q9I0V6","Pseudomonas aeruginosa","muxB","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","the resistance-nodulation-cell division (rnd) superfamily.","2.A.6.2.39",,,"10984043",100,100,100,"0.0"
"BLAT","Transporter","TCDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.2378","NDR77_02090",,"Q9HTB8","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"O-antigen export system permease protein RfbD","the atp-binding cassette (abc) superfamily.","3.A.1.103.6",,,,64,100,100,"6e-94"
"BLAT","Transporter","TCDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.3530","OQ293_03970",,"Q05098","Pseudomonas aeruginosa","pfeA","TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D","the outer membrane receptor (omr) family.","1.B.14.1.5",,,"10984043;8419284",100,100,99,"0.0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.2532","OQ293_22895",,"805",,"mexC","Multidrug efflux system, membrane fusion component => MexC of MexCD-OprJ system","MexC","antibiotic efflux","macrolide; fluoroquinolone; aminoglycoside; cephalosporin; penam; tetracycline; aminocoumarin; diaminopyrimidine; phenicol","erythromycin;gentamicin C;tetracycline;novobiocin;trimethoprim;chloramphenicol;ofloxacin;gentamicin",,100,100,97,"0"
"BLAT","Drug Target","DrugBank","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.4116","KB219_33580",,"P0C002","Escherichia coli","sulI","Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein","Sulfacetamide","Drug target",,,,11,100,100,"5e-11"
"BLAT","Drug Target","DrugBank","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.3873","NDR77_16140",,"Q88K39","Pseudomonas putida (strain KT2440)","ansB","L-glutaminase-L-asparaginase (EC 3.5.1.38)","2-Amino-6-Oxo-Hexanoic Acid;4-Carboxy-4-Aminobutanal","Drug target",,,,98,98,83,"1e-168"
"BLAT","Virulence Factor","Victors","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.5425","ACFX5B_29020",,"15596445","Pseudomonas aeruginosa PAO1","aprF","Type I secretion outer membrane protein, TolC family @ ABC-type protease exporter, outer membrane component PrtF/AprF",,"",,,"14641575",100,100,99,"1e-275"
"BLAT","Antibiotic Resistance","CARD","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.3069","NDR77_14265",,"NP_249871.1","Pseudomonas aeruginosa PAO1","phoQ","Sensor histidine kinase PhoQ (EC 2.7.13.3)",,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene modulating antibiotic efflux,polymyxin resistance gene",,,,100,100,100,"1e-256"
"K-mer Search","Antibiotic Resistance","PATRIC","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.6023",,,,,"OprB","Carbohydrate-selective porin OprB","Carbohydrate-selective porin OprB","protein modulating permeability to antibiotic","Multiple antibiotic resistance",,"7768797;8125108",,,,
"BLAT","Virulence Factor","VFDB","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.5909","ACFX5B_08240",,"VFG000189","Pseudomonas aeruginosa PAO1","pscQ","Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)",,"Secretion system,Type III secretion system",,,,100,100,98,"1e-175"
"BLAT","Virulence Factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.2223","IEG03_10895",,"VFG001249","Pseudomonas aeruginosa PAO1","fleR","Flagellar two-component response regulator FleR",,"Adherence,Motility",,,,100,100,99,"1e-266"
"K-mer Search","Antibiotic Resistance","PATRIC","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.3114","ACFX5B_21880",,,,"MexAB-OprM","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","efflux pump conferring antibiotic resistance","Penems, Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Peptide antibiotics, Sulfonamides, Diaminopyrimidines, Macrolides, Phenicol antibiotics, Aminocoumarin antibiotics, Fluoroquinolones Quinolones Quinolines","ampicillin;amoxicillin/clavulanic acid;azithromycin;aztreonam;ceftazidime;ceftriaxone;chloramphenicol;ciprofloxacin;colistin;erythromycin;meropenem;nalidixic acid;novobiocin;panipenem;tetracycline;ticarcillin;trimethoprim;trimethoprim/sulfamethoxazole;sulfamethoxazole ","8226684",,,,
"BLAT","Virulence Factor","VFDB","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.5311","ACFX5A_06375",,"VFG001253","Pseudomonas aeruginosa PAO1","fliH","Flagellar assembly protein FliH",,"Adherence,Motility",,,,100,100,100,"1e-151"
"BLAT","Virulence Factor","VFDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.5877","ACFX5C_06095",,"VFG001259","Pseudomonas aeruginosa PAO1","fliP","Flagellar biosynthesis protein FliP",,"Adherence,Motility",,,,100,100,100,"1e-136"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.5879","KB219_02975",,"VFG010906","Legionella pneumophila subsp. pneumophila str. Philadelphia 1","csrA","Carbon storage regulator",,"Regulation",,,,85,90,80,"3e-19"
"K-mer Search","Antibiotic Resistance","PATRIC","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.3937","NDR77_16365",,,,"Alr","Alanine racemase (EC 5.1.1.1)","Alanine racemase (EC 5.1.1.1)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","19748470;24303782",,,,
"BLAT","Virulence Factor","Victors","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.1057","ACFX5A_13025",,"15595271","Pseudomonas aeruginosa PAO1 ","PA0073","ABC transporter, ATP-binding protein",,"",,,"14641575",100,100,100,"1e-132"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.2546","KB219_08090",,"VFG041026","Pseudomonas aeruginosa PAO1","icmH","T6SS outer membrane component TssL (ImpK/VasF)",,"Effector delivery system",,,,100,100,100,"1e-166"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.5004","RBB72_24305",,"WP_058165042.1","Pseudomonas aeruginosa",,"Predicted integral membrane protein",,"9.B.430.1.3",,,,100,100,98,"5e-85"
"BLAT","Virulence Factor","VFDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.346","ACFX5C_09065",,"VFG002075","Pseudomonas aeruginosa PAO1","hsiH1","T6SS component TssG (ImpH/VasB)",,"Secretion system,Type VI secretion system",,,,100,100,99,"1e-210"
"BLAT","Virulence Factor","Victors","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.4899","ACFX5B_05925",,"15599724","Pseudomonas aeruginosa PAO1","pilD","Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)",,"",,,"14641575",100,100,99,"1e-171"
"BLAT","Drug Target","TTD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.394",,,"TTDNC00628",,,"Translation elongation factor Tu",,"",,,,42,86,90,"4e-85"
"BLAT","Drug Target","DrugBank","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.5871","NDR77_22370",,"Q9X6W0","Pseudomonas aeruginosa","ponB","Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)","Cefpiramide;Ceftazidime;Cefoperazone;Ceftolozane","Drug target",,,,100,100,99,"0.0"
"BLAT","Drug Target","DrugBank","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.1193","ACFX5C_12865",,"P14532","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","ccpA","Cytochrome c551 peroxidase (EC 1.11.1.5)","Heme C","Drug target",,,,100,100,99,"1e-202"
"BLAT","Transporter","TCDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1446","ERJ99_024655",,"Q9HY88","Pseudomonas aeruginosa","opmE","Multidrug efflux system, outer membrane factor lipoprotein => OpmE of MexPQ-OpmE system","the resistance-nodulation-cell division (rnd) superfamily.","2.A.6.2.34",,,"10984043;16301811",54,100,99,"1e-148"
"BLAT","Antibiotic Resistance","CARD","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.1487","IEG03_07255",,"NP_253464.1","Pseudomonas aeruginosa PAO1","PmrA","Two-component system response regulator QseB",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,,,100,100,100,"1e-122"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6418","RBB72_31175",,"VFG014733","Pseudomonas aeruginosa PAO1","motY","Putative outer membrane protein",,"Motility",,,,72,100,99,"1e-129"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1328","ERJ99_024370",,"VFG000203","Pseudomonas aeruginosa PAO1","popB","Type III secretion host injection protein (YopB)",,"Secretion system,Type III secretion system",,,,86,99,99,"1e-177"
"BLAT","Virulance factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5064","IEG03_24760",,"VFG002065","Pseudomonas aeruginosa PAO1","tssK","T6SS component TssK (ImpJ/VasE)",,"Effector delivery system",,,,100,100,100,"1e-258"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.5026","RBB72_24420",,"Q9HUR5","Pseudomonas aeruginosa",,"Outer membrane low permeability porin, OprD family => OccK1/OpdK benzoate/histidine, carbenicillin and cefoxitin uptake",,"1.B.25.1.8",,,,100,100,99,"1e-247"
"BLAT","Virulence Factor","Victors","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.5961",,,"116054461","Pseudomonas aeruginosa UCBPP-PA14 ","exoY","Adenylate cyclase ExoY (EC 4.6.1.1)",,"",,,"16039071",58,97,99,"1e-135"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.967","NDR77_29575",,"VFG044084","Pseudomonas aeruginosa PAO1",,"Transcriptional regulator, LysR family",,"Nutritional/Metabolic factor",,,,25,100,100,"7e-39"
"BLAT","Virulence Factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.1859","IEG03_09100",,"VFG000177","Pseudomonas aeruginosa PAO1","xcpW","General secretion pathway protein J",,"Secretion system,Type II secretion system",,,,93,94,99,"1e-126"
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.1627","IEG03_07950",,"Q9I0P8","Pseudomonas aeruginosa strain ATCC 15692",,"Uncharacterized MFS-type transporter",,"2.A.1.11.8",,,,100,100,99,"1e-233"
"BLAT","Antibiotic Resistance","CARD","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.2440","IEG03_11955",,"BAE06006.1","Pseudomonas aeruginosa","mexN","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB-like",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5891","IEG03_28780",,"Q9HTI8","Pseudomonas aeruginosa","choV","Choline binding ABC transport system ATP-binding protein ChoV","the atp-binding cassette (abc) superfamily.","3.A.1.12.12",,,"10984043",100,100,100,"1e-226"
"BLAT","Virulence Factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.4698","NDR77_18440",,"VFG014642","Pseudomonas aeruginosa PAO1","flgA","Flagellar basal-body P-ring formation protein FlgA",,"",,,,100,100,100,"1e-127"
"BLAT","Virulance factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.6296","IEG03_30735",,"VFG015503","Pseudomonas aeruginosa PAO1",,"Phenazine biosynthesis protein PhzA",,"Nutritional/Metabolic factor",,,,100,100,99,"5e-96"
"BLAT","Drug Target","DrugBank","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.2582","ACFX5A_18505",,"P25524","Escherichia coli (strain K12)","codA","Cytosine deaminase (EC 3.5.4.1)","4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One;5-Fluoro-4-(S)-Hydroxy-3,4-Dihydropyrimidine","Drug target",,,,88,89,81,"1e-187"
"BLAT","Virulence Factor","VFDB","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.2555","ACFX5B_20350",,"VFG000134","Pseudomonas aeruginosa PAO1","mucA","Sigma factor RpoE negative regulatory protein RseA",,"Antiphagocytosis,Serum resistance",,,,100,100,100,"1e-105"
"BLAT","Virulence Factor","VFDB","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.2942","ACFX5B_21040",,"VFG000164","Pseudomonas aeruginosa PAO1","fptA","Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore",,"Iron uptake,Siderophore",,,,100,100,99,"0.0"
"BLAT","Virulence Factor","Victors","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1124","ERJ99_023650",,"15598072","Pseudomonas aeruginosa PAO1","pyrF","Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)",,"",,,"14641575",100,100,100,"1e-128"
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.4943","IEG03_24175",,"F8H841","Pseudomonas stutzeri strain ATCC 17588","ccoO","Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)",,"3.D.4.3.3",,,,97,97,86,"3e-100"
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.3862","OQ293_27500",,"VFG016069","Pseudomonas aeruginosa PAO1","pvdG","Thioesterase PvdG involved in non-ribosomal peptide biosynthesis",,"",,,,100,100,99,"1e-144"
"BLAT","Transporter","TCDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.1665","KB219_06695",,"Q9I5N4","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"Hemolysin activation/secretion protein associated with VreARI signalling system","the two-partner secretion (tps) family.","1.B.20.3.6",,,,100,100,99,"0.0"
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.4275","IEG03_20905",,"Q9HY88","Pseudomonas aeruginosa","opmE","Multidrug efflux system, outer membrane factor lipoprotein => OpmE of MexPQ-OpmE system","the resistance-nodulation-cell division (rnd) superfamily.","2.A.6.2.34",,,"10984043;16301811",100,100,98,"1e-274"
"BLAT","Virulence Factor","VFDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.4730","ACFX5C_26010",,"VFG002063","Pseudomonas aeruginosa PAO1","icmF1/tssM1","T6SS component TssM (IcmF/VasK)",,"Secretion system,Type VI secretion system",,,,100,93,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.418","KB219_23220",,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"BLAT","Virulence Factor","Victors","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.569","IEG03_02765",,"15597060","Pseudomonas aeruginosa PAO1","modA","Molybdenum ABC transporter, substrate-binding protein ModA",,"",,,"14641575",100,100,98,"1e-137"
"BLAT","Drug Target","TTD","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.706","KB219_24300",,"TTDR00327",,"algR","Alginate biosynthesis two-component system response regulator AlgR",,"",,,,100,100,86,"1e-121"
"BLAT","Metal Resistance","BacMet","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.6923","KB219_20270",,"BAC0130","Pseudomonas aeruginosa",,"Cobalt/zinc/cadmium efflux RND transporter, transmembrane protein CzcA",,,,,,100,100,99,"0.0"
"BLAT","Drug Target","TTD","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5708","OQ293_10585",,"TTDR00327",,"algR","Alginate biosynthesis two-component system response regulator AlgR",,"",,,,100,100,86,"1e-121"
"BLAT","Virulence Factor","Victors","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.5319","ERJ99_035060",,"15595239","Pseudomonas aeruginosa PAO1","PA0041","Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family",,"",,,"14641575",12,99,99,"1e-248"
"BLAT","Virulance factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.6004","OQ293_11990",,"VFG002068","Pseudomonas aeruginosa PAO1","tssA","T6SS component TssA (ImpA)",,"Effector delivery system",,,,100,100,99,"1e-192"
"BLAT","Antibiotic Resistance","CARD","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1927","ERJ99_026380",,"NP_249871.1","Pseudomonas aeruginosa PAO1","phoQ","Sensor histidine kinase PhoQ (EC 2.7.13.3)",,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene modulating antibiotic efflux,polymyxin resistance gene",,,,100,100,99,"1e-256"
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.2325","ERJ99_000860",,"VFG000211","Pseudomonas aeruginosa PAO1",,"Type III secretion outermembrane pore forming protein (YscC,MxiD,HrcC, InvG)",,"Effector delivery system",,,,100,96,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.2394","OQ293_03200",,"VFG000172","Pseudomonas aeruginosa PAO1","phzM","Phenazine-specific methyltransferase PhzM",,"Pigment,Antimicrobial activity",,,,100,100,99,"1e-189"
"BLAT","Virulance factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.3404","IEG03_16645",,"VFG014984","Pseudomonas aeruginosa PAO1",,"Outer membrane stress sensor protease DegS",,"Biofilm",,,,100,100,99,"1e-220"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.2625","NDR77_12830",,"VFG000141","Pseudomonas aeruginosa PAO1","waaA","3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)",,"Immune modulation",,,,100,100,99,"1e-248"
"BLAT","Virulence Factor","Victors","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.1121","RBB72_05480",,"15599071","Pseudomonas aeruginosa PAO1","narK2","Nitrate/nitrite transporter NarK/U",,"",,,"14641575",100,100,99,"1e-282"
"BLAT","Transporter","TCDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.282","NDR77_07970",,"W1MMS7","Pseudomonas aeruginosa VRFPA03","feoB","Ferrous iron transporter FeoB",,"9.A.8.1.15",,,,100,100,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.5918","ACFX5B_08285",,"VFG000198","Pseudomonas aeruginosa PAO1","pcrD","Type III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)",,"Secretion system,Type III secretion system",,,,100,100,99,"0.0"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.5323","KB219_02050",,"VFG000206","Pseudomonas aeruginosa PAO1","exsE","FIG00962212: hypothetical protein",,"Effector delivery system",,,,100,100,100,"1e-38"
"BLAT","Virulence Factor","Victors","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.4301","OQ293_29660",,"15599684","Pseudomonas aeruginosa","PA4488","Uncharacterized protein YfaQ",,"",,,"14641575",100,100,98,"0.0"
"BLAT","Virulence Factor","Victors","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.4729","RBB72_22930",,"15600642","Pseudomonas aeruginosa PAO1","wbpX","Mannosyltransferase",,"",,,"14641575",100,100,99,"1e-274"
