Isolate ID	Quality Module	Genotype	Predicted Phenotype	CGE Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Greater Than Or Equal To 300 bp	Quality Module Feedback
GCA_009727325.1_ASM972732v1_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(3')-VI, aph(6)-Id, blaOXA-488, blaPAO, blaPME-1, catB7, CmlA9, fosA, qnrVC1, rmtD2, sul1, tet(G), tmexC3, tmexD2, TOprJ3	streptomycin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, ciprofloxacin I/R, gentamicin, sulfisoxazole, tetracycline, unknown[tmexC3_1_LC633285], unknown[tmexD2_1_MN175502], unknown[TOprJ3_1_LC633285]	Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amikacin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Cefotaxime, Cefoxitin, Aztreonam, Chloramphenicol, Fosfomycin, Ciprofloxacin, Tobramycin, Netilmicin, Sulfamethoxazole, Doxycycline, Tetracycline, Minocycline, Tigecycline	None	paeruginosa	308	7101775	244313	115	Genome length is not within the acceptable length range [4000000,6000000]
GCA_009727335.1_ASM972733v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	760	6369452	466704	64	Genome length is not within the acceptable length range [4000000,6000000]
GCA_009727345.1_ASM972734v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	491	6329723	459496	58	Genome length is not within the acceptable length range [4000000,6000000]
GCA_009727395.1_ASM972739v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	491	6329075	465505	55	Genome length is not within the acceptable length range [4000000,6000000]
GCA_009939155.1_ASM993915v1_genomic	Failed	aadA11, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaDIM-1, blaNDM-1, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), FloR, fosA, mph(E), msr(E), qnrVC1, rmtB, tet(G), tmexC3, tmexD2, TOprJ3	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, unknown[FloR_4_CP136914], fosfomycin, azithromycin, ciprofloxacin I/R, amikacin, gentamicin, tetracycline, unknown[tmexC3_1_LC633285], unknown[tmexD2_1_MN175502], unknown[TOprJ3_1_LC633285]	Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Cefepime, Cefixime, Ceftazidime+Avibactam, Temocillin, Chloramphenicol, Trimethoprim, Erythromycin, Florphenicol, Fosfomycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S, Ciprofloxacin, Amikacin, Tobramycin, Arbekacin, Sisomicin, Isepamicin, Doxycycline, Tetracycline, Minocycline, Tigecycline	None	paeruginosa	1203	6910564	245429	75	Genome length is not within the acceptable length range [4000000,6000000]
GCA_010694505.1_ASM1069450v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	-	6367369	6367369	1	Genome length is not within the acceptable length range [4000000,6000000]
GCA_011947185.1_ASM1194718v1_genomic	Failed	aac(6')-Il, aadA13, ant(2'')-Ia, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, ARR-8, blaIMP-1b, blaOXA-2, blaOXA-395, blaPAO, catB7, crpP, dfrA5, ere(A), fosA, sul1	gentamicin, streptomycin, kanamycin, unknown[ARR-8_1_KC199968], unknown[blaIMP-1b_1_MK388919], ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, trimethoprim, erythromycin, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Gentamicin, Unknown Aminoglycoside, Rifampicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Erythromycin, Fosfomycin, Sulfamethoxazole	None	paeruginosa	316	7017375	264748	125	Genome length is not within the acceptable length range [4000000,6000000]
GCA_014712765.1_ASM1471276v1_genomic	Failed	aac(6')-Il, aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, blaOXA-10, blaOXA-395, blaPAO, blaPME-1, blaVEB-1, catB7, CmlA9, dfrB2, fosA, sul1, tet(A), tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Cefotaxime, Cefoxitin, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	ColpEC648	paeruginosa	3904	6850324	160204	170	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016456225.1_SPA02_genomic	Failed	aph(3')-IIb, blaOXA-396, blaPAO, catB7, fosA, sul1	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	654	6766710	1124653	24	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016595165.1_ASM1659516v1_genomic	Failed	ant(3'')-Ia, aph(3')-IIb, aph(3')-VI, ARR-3, blaNDM-1, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, catB7, CmlA7, crpP, fosA, sul1, sul1, sul1, tet(A)	streptomycin, kanamycin, amikacin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], ciprofloxacin I/R, fosfomycin, sulfisoxazole, tetracycline	Streptomycin, Unknown Aminoglycoside, Amikacin, Rifampicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Aztreonam, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6829266	5225585	9	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016762735.1_ASM1676273v1_genomic	Failed	aac(3)-Id, aac(6')-Il, aph(3')-IIb, blaOXA-50, blaVIM-2, dfrB5	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, trimethoprim	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Trimethoprim	None	paeruginosa	3472	6310348	371947	48	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836465.1_255_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6917762	6866846	10	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836485.1_251_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6955433	6893204	9	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836505.1_239_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6955249	6862416	12	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836525.1_241_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin	None	paeruginosa	639	6398696	6394864	7	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836545.1_237_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Trimethoprim, Erythromycin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1203	6959626	6935360	14	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836565.1_236_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), FloR, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, unknown[FloR_4_CP136914], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Trimethoprim, Erythromycin, Florphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1203	6948035	6903027	20	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836585.1_227_genomic	Failed	aac(6')-Ib3, aadA5, aadA6, aph(3')-IIb, aph(3')-VIa, blaOXA-10, blaOXA-488, blaPAO, blaVEB-1, catB7, catB8, fosA, sul1, TOprJ3	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole, unknown[TOprJ3_1_LC633285]	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline, Minocycline, Tigecycline	None	paeruginosa	235	6701694	6675959	17	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836605.1_217_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6958100	6892595	10	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836615.1_225_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6956667	6894500	9	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836645.1_208_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6954895	6890313	10	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836665.1_200_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Cefepime, Cefixime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6955968	6890377	10	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016836685.1_199_genomic	Failed	aph(3')-IIb, blaNDM-1, blaOXA-396, blaPAO, catB7, CmlA9, fosA, sul1, tet(G)	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	654	6813180	6755572	6	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016925455.1_ASM1692545v1_genomic	Failed	aac(6')-Il, aac(6')-Il, aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, ant(3'')-Ia, aph(3')-IIb, aph(3')-VI, blaNDM-1, blaOXA-10, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, blaVEB-1, catB7, crpP, dfrB2, dfrB2, fosA, sul1, sul1, sul1, sul1, tet(A)	gentamicin, streptomycin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Aztreonam, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6850181	6754571	4	Genome length is not within the acceptable length range [4000000,6000000]
GCA_016925475.1_ASM1692547v1_genomic	Failed	aac(6')-Il, aac(6')-Il, aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, ant(3'')-Ia, aph(3')-IIb, aph(3')-VI, blaNDM-1, blaOXA-10, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, blaVEB-1, catB7, crpP, dfrB2, dfrB2, fosA, sul1, sul1, sul1, sul1, tet(A)	gentamicin, streptomycin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Aztreonam, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6850198	6847382	3	Genome length is not within the acceptable length range [4000000,6000000]
GCA_018132785.1_ASM1813278v1_genomic	Failed	aac(6')-Ib-cr, aph(3')-IIb, blaOXA-50, blaPAO, blaPER-3, blaTEM-229, catB7, CmlA9, fosA, sul1, tet(G)	amikacin, tobramycin, ciprofloxacin I/R, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam, Unknown Beta-lactam, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	664	7017271	31665	520	Genome length is not within the acceptable length range [4000000,6000000]
GCA_018448985.1_ASM1844898v1_genomic	Failed	aadA11, aph(3')-IIb, blaNDM-1, blaOXA-395, blaPAO, catB7, CmlA9, fosA, qnrVC1, rmtB, sul1, sul1, tet(G)	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, ciprofloxacin I/R, amikacin, gentamicin, sulfisoxazole, tetracycline	Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Ciprofloxacin, Amikacin, Tobramycin, Arbekacin, Sisomicin, Isepamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	773	6932250	6932250	1	Genome length is not within the acceptable length range [4000000,6000000]
GCA_020072085.1_ASM2007208v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	274	6327864	327974	69	Genome length is not within the acceptable length range [4000000,6000000]
GCA_020072145.1_ASM2007214v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	274	6323646	181738	89	Genome length is not within the acceptable length range [4000000,6000000]
GCA_020072185.1_ASM2007218v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	244	6421269	189397	93	Genome length is not within the acceptable length range [4000000,6000000]
GCA_020072205.1_ASM2007220v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	244	6348594	387720	67	Genome length is not within the acceptable length range [4000000,6000000]
GCA_020072275.1_ASM2007227v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	244	6424692	246451	70	Genome length is not within the acceptable length range [4000000,6000000]
